Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
603571,603571 3' Strip Light Ext,-- Unbranded --,-- No Unilog Brand --,Wiz,Phillips Lighting (5831)
801274,"801274 10w LED 6"" Retro 50k",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
141465,"141465 15W Flor 18"" T12 27k",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
391227,"391227 32W Led 12"" T9 30K",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
392225,"392225 22W Flor 8"" T9 30k",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
467316,467316 150W Sodium Med 21k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
567313,567313 50W Led MR16 30K 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
586875,586875 60W Led Multi CCT 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576355,576355 60/100/150 Led Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576363,576363 100/150/200 Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565374,565374 75W Led A19 Med 27k 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565390,565390 75W Led A19 Med 50k 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576371,576371 100/150/200 Led Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576496,576496 45W Led R20 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564856,564856 40W Led ST19 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565796,565796 60W Led A19 Med 20k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576389,576389 100/200/300 Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564492,564492 75W Adj Base 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
603449,603449 Wiz 60W Led Med Clr Ch,-- Unbranded --,-- No Unilog Brand --,Wiz,Phillips Lighting (5831)
586909,586909 Led 60W Med A19 27K,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
566364,566364 75W Led ST19 27k 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576397,576394 100/200/300 Led A23 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
571497,571497 150W Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576306,576306 40W Led A19 5CCT 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
588533,588533 40W Led Cand 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
576520,576520 65W Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
